twelve_months_2nds,spells_secondup_place,spells_firstup_starts,career_3rds,track,spells_firstup_win,best_bet,spells_thirdup_odds,spells_secondup_win,career_1sts,race_number,spells_secondup_2nd,spells_firstup_odds,trainer,spells_thirdup_3rd,twelve_months_3rds,horse,age_in_years,rating,career_2nds,twelve_months_places,tipster,spells_firstup_place,spells_firstup_roi,career_odds,value_bet,spells_secondup_1st,spells_thirdup_2nd,spells_secondup_odds,twelve_months_wins,spells_secondup_starts,spells_thirdup_roi,career_places,twelve_months_1sts,spells_thirdup_starts,career_wins,career_roi,career_starts,spells_firstup_1st,next_best_bet,spells_firstup_2nd,earnings,spells_thirdup_1st,spells_secondup_roi,twelve_months_odds,twelve_months_roi,spells_thirdup_place,spells_thirdup_win,spells_secondup_3rd,twelve_months_starts,race_date,spells_firstup_3rd,race_time
,,,,Rockhampton,,False,,,,4,,,,,,Nature’s Way,,,,,2,,,,False,,,,,,,,,,,,,,False,,,,,,,,,,,2017-03-09,,
1,1.0,2,1,Rockhampton,1.0,False,0.0,0.5,3,5,1,14.0,Craig Smith,1,1,Rooi Roe,0,65,1,1.0,2,1.0,1300,10.27,False,1,0,2.8,0.6,1,100,1.0,3,0,0.6,516,5,2,False,0,27000.0,0,40,10.27,5.16,1.0,0.0,0,5,2017-03-09,0,
2,0.43,1,8,Rockhampton,0.15,False,6.0,0.0,3,6,1,12.0,Darryl Gardiner,2,3,All Host,0,57,5,0.72,2,0.58,71,7.83,False,0,0,0.0,0.0,0,20,0.49,0,1,0.1,29,33,1,False,1,52300.0,1,100,0.0,1.0,0.6,0.2,2,7,2017-03-09,2,
2,1.0,1,3,Rockhampton,0.34,True,0.0,0.0,3,7,2,4.6,Neil Vagg,1,2,Shigzag,4,63,4,0.78,2,1.0,53,4.17,False,0,1,0.0,0.34,0,100,0.84,3,0,0.25,4,12,1,False,0,66700.0,0,100,4.17,0.39,1.0,0.0,0,9,2017-03-09,2,
2,0.75,0,9,Rockhampton,0.0,False,0.0,0.0,1,8,1,0.0,David John Hall,2,2,Fondue,0,49,4,0.4,2,0.5,100,17.0,True,0,0,0.0,0.0,0,100,0.47,0,0,0.04,43,30,0,False,0,32400.0,0,100,0.0,1.0,0.5,0.0,2,10,2017-03-09,2,
,,,,Seymour,,False,,,,1,,,,,,Pat’s Lad,,,,,2,,,,False,,,,,,,,,,,,,,True,,,,,,,,,,,2017-03-09,,
1,0,0,0,Seymour,0,False,0,0,0,2,0,0,"Michael, Wayne & John Hawkes",0,0,Bidwee,0,999,1,1.0,2,0,0,0.0,False,0,0,0,0.0,0,0,1.0,0,0,0.0,100,1,0,False,0,3900.0,0,0,0.0,1.0,0,0,0,1,2017-03-09,0,
0,0,0,1,Seymour,0,True,0,0,0,3,0,0,David & B Hayes & T Dabernig,0,1,Swiss Coin,0,999,0,0.5,2,0,0,0.0,False,0,0,0,0.0,0,0,0.5,0,0,0.0,100,2,0,False,0,2200.0,0,0,0.0,1.0,0,0,0,2,2017-03-09,0,
0,0.5,0,2,Seymour,0.0,False,4.4,0.0,3,4,1,0.0,Lee & Shannon Hope,0,2,Beach Fighter,0,62,2,0.43,2,0.4,100,3.7,False,0,0,0.0,0.15,0,47,0.47,1,1,0.2,26,15,0,False,1,45100.0,1,100,2.7,0.61,0.34,0.34,1,7,2017-03-09,1,
0,0.0,2,2,Seymour,0.67,False,0.0,0.0,3,5,0,34.0,Paul & Tracey Templeton,1,2,Prince Of Babylon,4,57,0,0.24,2,0.67,2167,28.0,False,0,0,0.0,0.12,0,100,0.25,2,0,0.15,320,20,2,False,0,46200.0,0,100,38.5,3.53,0.34,0.0,0,17,2017-03-09,0,
