horse,track,race_number,race_date,tipster,next_best_bet,value_bet,best_bet,career_3rds,spells_secondup_3rd,career_2nds,spells_firstup_1st,spells_firstup_place,spells_thirdup_odds,spells_thirdup_1st,career_places,spells_secondup_1st,earnings,twelve_months_wins,spells_thirdup_roi,twelve_months_odds,spells_thirdup_place,twelve_months_1sts,career_1sts,career_roi,twelve_months_starts,spells_thirdup_3rd,twelve_months_2nds,spells_thirdup_win,career_wins,spells_secondup_roi,spells_secondup_starts,career_odds,spells_secondup_2nd,age_in_years,career_starts,spells_firstup_win,spells_firstup_2nd,rating,spells_secondup_win,twelve_months_roi,trainer,spells_secondup_place,spells_thirdup_starts,twelve_months_3rds,spells_firstup_starts,spells_secondup_odds,twelve_months_places,spells_firstup_odds,spells_firstup_roi,spells_firstup_3rd,spells_thirdup_2nd,money
Bo Bardi,Wodonga,4,2016-03-21,1,False,False,False,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.29,0.0,16300.0,0.17,100.0,2.5,1.0,1.0,1.0,64.0,6.0,1.0,0.0,0.0,0.15,100.0,0.0,2.5,0.0,0.0,7.0,0.5,0.0,60.0,0.0,0.58,Lee & Shannon Hope,0.0,0.0,1.0,1.0,0.0,0.34,2.5,25.0,0.0,0.0,True
Silver Skates,Grafton,3,2016-03-21,1,False,False,False,1.0,1.0,1.0,0.0,0.5,0.0,0.0,0.6,1.0,13500.0,0.5,100.0,3.8,0.0,1.0,1.0,24.0,2.0,0.0,1.0,0.0,0.2,90.0,1.0,3.8,0.0,5.0,5.0,0.0,1.0,999.0,0.5,0.9,Graeme Birney,1.0,0.0,0.0,0.0,3.8,1.0,0.0,100.0,0.0,0.0,True
Remunerator,Scone,7,2016-03-22,1,False,False,False,3.0,0.0,2.0,1.0,0.67,0.0,0.0,0.42,0.0,69800.0,0.09,100.0,2.0,0.5,1.0,2.0,18.0,12.0,0.0,2.0,0.0,0.12,100.0,0.0,7.0,0.0,0.0,17.0,0.34,0.0,64.0,0.0,0.83,Robert Pearse,0.0,0.0,3.0,1.0,0.0,0.5,12.0,300.0,1.0,1.0,False
Didache,Scone,3,2016-03-22,1,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,14300.0,0.17,0.0,2.2,0.0,1.0,1.0,63.0,6.0,0.0,0.0,0.0,0.17,0.0,0.0,2.2,0.0,0.0,6.0,0.0,0.0,58.0,0.0,0.63,Barry Baldwin,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,True
Chui,Ballarat,4,2016-03-22,1,False,False,False,0.0,0.0,3.0,0.0,0.25,0.0,0.0,0.25,0.0,16400.0,0.0,100.0,0.0,0.5,0.0,0.0,100.0,10.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,4.0,12.0,0.0,1.0,999.0,0.0,1.0,Neil Godbolt,0.25,0.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,1.0,False
The Weald,Ballarat,2,2016-03-22,1,False,False,False,7.0,0.0,3.0,0.0,0.5,0.0,0.0,0.46,0.0,33700.0,0.0,100.0,0.0,0.34,0.0,0.0,100.0,16.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,4.0,22.0,0.0,0.0,56.0,0.0,1.0,Neil Godbolt,0.0,0.0,6.0,0.0,0.0,0.57,0.0,100.0,2.0,1.0,False
Powerline,Gosford,7,2016-03-24,1,False,False,False,4.0,1.0,5.0,1.0,0.67,4.6,1.0,0.57,1.0,333000.0,0.0,53.0,0.0,0.67,0.0,4.0,33.0,12.0,0.0,5.0,0.34,0.18,100.0,1.0,7.65,0.0,6.0,23.0,0.34,0.0,82.0,0.34,1.0,Kris Lees,0.67,1.0,2.0,1.0,6.0,0.59,8.0,167.0,1.0,1.0,False
Redzel,Gosford,6,2016-03-24,1,False,False,False,1.0,1.0,2.0,2.0,0.75,7.5,1.0,0.62,1.0,423000.0,0.5,150.0,5.38,0.34,4.0,5.0,101.0,8.0,0.0,2.0,0.34,0.39,38.0,1.0,5.22,1.0,0.0,13.0,0.5,1.0,100.0,0.25,1.69,Peter & Paul Snowden,0.75,1.0,0.0,2.0,5.5,0.75,3.8,90.0,0.0,0.0,False
Our Ivanhowe,Rosehill Gardens,7,2016-03-26,1,False,False,False,1.0,0.0,2.0,3.0,0.5,2.7,1.0,0.4,1.0,1500000.0,0.13,46.0,16.0,0.4,1.0,6.0,61.0,8.0,1.0,0.0,0.2,0.27,53.0,1.0,6.18,1.0,7.0,23.0,0.38,1.0,116.0,0.17,1.0,Lee & Anthony Freedman,0.34,1.0,0.0,3.0,2.8,0.13,5.2,95.0,0.0,0.0,False
Valley Girl,Rosehill Gardens,6,2016-03-26,1,False,False,False,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.55,0.0,383000.0,0.34,100.0,2.0,1.0,2.0,4.0,27.0,6.0,1.0,1.0,0.0,0.37,100.0,0.0,2.0,0.0,4.0,11.0,1.0,0.0,100.0,0.0,0.33,D & C Logan & Gibbs,0.0,0.0,0.0,2.0,0.0,0.5,2.0,100.0,0.0,0.0,False
