horse,track,race_number,race_date,tipster,next_best_bet,value_bet,best_bet,career_3rds,spells_secondup_3rd,career_2nds,spells_firstup_1st,spells_firstup_place,spells_thirdup_odds,spells_thirdup_1st,career_places,spells_secondup_1st,earnings,twelve_months_wins,spells_thirdup_roi,twelve_months_odds,spells_thirdup_place,twelve_months_1sts,career_1sts,career_roi,twelve_months_starts,spells_thirdup_3rd,twelve_months_2nds,spells_thirdup_win,career_wins,spells_secondup_roi,spells_secondup_starts,career_odds,spells_secondup_2nd,age_in_years,career_starts,spells_firstup_win,spells_firstup_2nd,rating,spells_secondup_win,twelve_months_roi,trainer,spells_secondup_place,spells_thirdup_starts,twelve_months_3rds,spells_firstup_starts,spells_secondup_odds,twelve_months_places,spells_firstup_odds,spells_firstup_roi,spells_firstup_3rd,spells_thirdup_2nd,money
Shanzam,"Rockhampton, Newmarket Handicap day",8,2016-06-23,2,False,False,True,1.0,0.0,2.0,1.0,0.5,0.0,0.0,0.36,2.0,48100.0,0.15,100.0,6.0,0.5,1.0,3.0,25.0,7.0,1.0,0.0,0.0,0.18,133.0,2.0,4.27,0.0,5.0,17.0,0.25,1.0,60.0,0.5,0.14,Toby Edmonds,0.5,0.0,0.0,1.0,4.65,0.15,3.5,12.0,0.0,1.0,False
Siegfried,"Rockhampton, Newmarket Handicap day",7,2016-06-23,2,False,False,False,4.0,1.0,5.0,1.0,0.34,3.6,1.0,0.56,2.0,307000.0,0.29,40.0,3.9,0.67,2.0,7.0,27.0,7.0,2.0,1.0,0.17,0.25,17.0,2.0,3.01,1.0,0.0,29.0,0.17,1.0,89.0,0.34,0.11,Toby Edmonds,0.67,1.0,1.0,1.0,2.5,0.58,4.2,30.0,0.0,1.0,False
Kipling,"Rockhampton, Newmarket Handicap day",6,2016-06-23,2,False,False,False,1.0,1.0,5.0,0.0,0.34,0.0,0.0,0.34,1.0,99100.0,0.12,100.0,1.85,0.2,1.0,2.0,77.0,9.0,0.0,1.0,0.0,0.09,63.0,1.0,2.73,1.0,5.0,24.0,0.0,2.0,61.0,0.2,0.79,Jamie McConachy,0.6,0.0,0.0,0.0,1.85,0.23,0.0,100.0,0.0,1.0,False
Dennis Denuto,"Rockhampton, Newmarket Handicap day",5,2016-06-23,2,False,False,False,5.0,1.0,6.0,0.0,0.4,0.0,0.0,0.6,1.0,36100.0,0.13,100.0,2.5,0.6,1.0,2.0,80.0,8.0,0.0,3.0,0.0,0.1,50.0,1.0,2.25,1.0,0.0,22.0,0.0,0.0,63.0,0.2,0.69,Jamie McConachy,0.6,0.0,1.0,0.0,2.5,0.63,0.0,100.0,2.0,3.0,False
Sicario,"Rockhampton, Newmarket Handicap day",4,2016-06-23,2,False,False,False,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.34,0.0,9300.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,6.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,999.0,0.0,1.0,Natalie Mccall,0.5,0.0,0.0,0.0,0.0,0.34,0.0,100.0,0.0,0.0,False
Sanosuke,"Rockhampton, Newmarket Handicap day",3,2016-06-23,2,False,False,False,5.0,2.0,6.0,3.0,0.86,3.2,1.0,0.42,0.0,91200.0,0.16,47.0,4.0,0.17,2.0,5.0,43.0,13.0,0.0,1.0,0.17,0.13,100.0,0.0,4.46,0.0,0.0,39.0,0.43,1.0,67.0,0.0,0.38,Tom Button,0.34,1.0,3.0,3.0,0.0,0.47,5.03,116.0,2.0,0.0,False
Changing Notes,"Rockhampton, Newmarket Handicap day",2,2016-06-23,2,False,False,False,2.0,0.0,5.0,0.0,0.0,16.0,1.0,0.42,0.0,69200.0,0.24,300.0,7.33,0.25,3.0,5.0,38.0,13.0,0.0,2.0,0.25,0.18,100.0,0.0,8.0,1.0,6.0,29.0,0.0,0.0,66.0,0.0,0.69,Shane Sigvart,0.25,1.0,1.0,0.0,0.0,0.47,0.0,100.0,0.0,0.0,False
Norudder Nocompass,"Rockhampton, Newmarket Handicap day",1,2016-06-23,2,False,False,False,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.78,1.0,29700.0,0.23,100.0,1.7,1.0,2.0,2.0,62.0,9.0,0.0,4.0,0.0,0.23,10.0,1.0,1.7,1.0,0.0,9.0,0.0,1.0,63.0,0.5,0.62,Jamie McConachy,1.0,0.0,1.0,0.0,1.8,0.78,0.0,100.0,1.0,2.0,True
Turfane,Bendigo,9,2016-06-23,2,False,False,False,7.0,2.0,3.0,1.0,0.17,18.0,1.0,0.4,1.0,184000.0,0.22,260.0,12.0,0.6,3.0,4.0,7.0,14.0,1.0,0.0,0.2,0.12,77.0,1.0,9.35,0.0,0.0,35.0,0.17,0.0,70.0,0.17,1.57,Saab Hasan,0.5,1.0,4.0,1.0,1.4,0.5,11.0,83.0,0.0,1.0,False
Slowpoke Rodriguez,Bendigo,7,2016-06-23,2,False,False,False,1.0,0.0,2.0,1.0,0.34,0.0,0.0,0.54,2.0,96800.0,0.17,100.0,7.0,0.34,1.0,4.0,53.0,6.0,0.0,2.0,0.0,0.31,188.0,2.0,4.96,0.0,0.0,13.0,0.34,0.0,122.0,0.67,0.17,Patrick Payne,0.67,0.0,1.0,1.0,4.33,0.67,7.0,133.0,0.0,1.0,True
Alberti,Bendigo,6,2016-06-23,2,False,False,False,6.0,3.0,2.0,1.0,0.29,10.0,2.0,0.29,0.0,92200.0,0.1,233.0,4.6,0.34,1.0,5.0,10.0,11.0,0.0,1.0,0.34,0.11,100.0,0.0,10.12,0.0,0.0,46.0,0.15,0.0,57.0,0.0,0.58,Brydon Mills,0.43,2.0,1.0,1.0,0.0,0.28,21.0,200.0,1.0,0.0,False
Auld Tricks,Bendigo,4,2016-06-23,2,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,999.0,0.0,1.0,Brendan McCarthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
Bella Ava,Bendigo,3,2016-06-23,2,False,False,False,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.0,30700.0,0.25,100.0,4.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.25,100.0,0.0,4.0,0.0,3.0,4.0,0.5,1.0,62.0,0.0,0.0,David & B Hayes & T Dabernig,0.0,0.0,0.0,1.0,0.0,0.5,4.0,100.0,0.0,0.0,False
Nasdex,Bendigo,2,2016-06-23,2,False,False,False,1.0,0.0,0.0,0.0,0.0,3.5,1.0,0.58,2.0,66100.0,0.43,75.0,2.52,1.0,3.0,3.0,8.0,7.0,1.0,0.0,0.5,0.43,103.0,2.0,2.52,0.0,0.0,7.0,0.0,0.0,68.0,1.0,0.08,Ciaron Maher,1.0,1.0,1.0,0.0,2.03,0.58,0.0,100.0,0.0,0.0,False
Brightlight Boy,Bendigo,1,2016-06-23,2,False,False,False,4.0,1.0,0.0,1.0,0.5,0.0,0.0,0.55,1.0,29900.0,0.19,100.0,8.5,0.0,2.0,2.0,55.0,11.0,0.0,0.0,0.0,0.19,400.0,1.0,8.5,0.0,0.0,11.0,0.5,0.0,63.0,0.5,0.55,Terry & Karina O'Sullivan,1.0,0.0,4.0,1.0,10.0,0.55,7.0,250.0,0.0,0.0,False
Lunch At Tiffanys,Canberra,7,2016-06-24,2,False,False,False,1.0,1.0,5.0,1.0,0.15,5.0,2.0,0.3,0.0,64300.0,0.0,67.0,0.0,0.34,0.0,4.0,22.0,8.0,0.0,1.0,0.34,0.12,100.0,0.0,6.63,2.0,6.0,34.0,0.15,0.0,53.0,0.0,1.0,Keith Dryden & Scott Collings,0.5,2.0,0.0,1.0,0.0,0.13,2.5,64.0,0.0,0.0,False
Barksdale,Canberra,6,2016-06-24,2,False,False,True,0.0,0.0,3.0,0.0,0.5,0.0,0.0,0.45,1.0,22300.0,0.17,100.0,5.0,0.5,1.0,1.0,44.0,6.0,0.0,3.0,0.0,0.12,150.0,1.0,5.0,0.0,6.0,9.0,0.0,1.0,52.0,0.5,0.17,Keith Dryden & Scott Collings,0.5,0.0,0.0,0.0,5.0,0.67,0.0,100.0,0.0,1.0,False
Ziganui,Canberra,5,2016-06-24,2,False,False,False,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.88,1.0,67300.0,0.43,100.0,3.03,1.0,3.0,4.0,151.0,7.0,1.0,0.0,0.0,0.5,200.0,1.0,5.03,0.0,4.0,8.0,0.67,0.0,69.0,1.0,0.3,Keith Dryden & Scott Collings,1.0,0.0,3.0,2.0,3.0,0.86,6.9,360.0,1.0,0.0,False
Chicago Magic,Canberra,2,2016-06-24,2,False,False,False,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.56,0.0,12300.0,0.0,100.0,0.0,1.0,0.0,0.0,100.0,7.0,0.0,2.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,999.0,0.0,1.0,Tim Donnelly,1.0,0.0,1.0,0.0,0.0,0.43,0.0,100.0,1.0,1.0,False
Sandeep,Devonport,8,2016-06-24,2,False,False,False,12.0,1.0,15.0,0.0,0.29,3.1,1.0,0.46,1.0,125000.0,0.0,56.0,0.0,0.58,0.0,7.0,10.0,11.0,2.0,1.0,0.15,0.1,53.0,1.0,9.66,2.0,0.0,75.0,0.0,1.0,64.0,0.15,1.0,Kerrie Mccarthy,0.58,1.0,1.0,0.0,3.3,0.19,0.0,100.0,1.0,1.0,False
Himation,Devonport,7,2016-06-24,2,False,False,False,5.0,0.0,6.0,0.0,0.2,5.9,1.0,0.49,1.0,98400.0,0.0,48.0,0.0,0.75,0.0,4.0,48.0,12.0,1.0,2.0,0.25,0.13,12.0,1.0,4.05,1.0,6.0,31.0,0.0,0.0,64.0,0.2,1.0,Adam Trinder,0.4,1.0,2.0,0.0,4.4,0.34,0.0,100.0,1.0,1.0,False
Siorca,Devonport,6,2016-06-24,2,False,False,False,9.0,1.0,7.0,1.0,1.0,0.0,0.0,0.69,1.0,189000.0,0.19,100.0,2.1,0.5,3.0,6.0,56.0,16.0,2.0,4.0,0.0,0.19,50.0,1.0,2.35,1.0,4.0,32.0,0.25,2.0,83.0,0.25,0.61,Barry Campbell,0.75,0.0,3.0,1.0,2.0,0.63,2.5,37.0,1.0,0.0,False
Vigilante,Devonport,5,2016-06-24,2,False,False,False,4.0,0.0,5.0,1.0,0.58,3.65,2.0,0.5,2.0,106000.0,0.23,46.0,12.05,0.4,2.0,8.0,50.0,9.0,0.0,1.0,0.4,0.24,51.0,2.0,6.38,1.0,6.0,34.0,0.15,1.0,77.0,0.29,1.68,Scott Brunton,0.43,2.0,1.0,1.0,1.73,0.45,8.8,26.0,2.0,0.0,False
Tuscan Classic,Devonport,4,2016-06-24,2,False,False,False,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.46,1.0,19000.0,0.1,100.0,3.7,1.0,1.0,1.0,66.0,10.0,0.0,2.0,0.0,0.1,270.0,1.0,3.7,0.0,0.0,11.0,0.0,0.0,60.0,1.0,0.63,Adam Trinder,1.0,0.0,2.0,0.0,3.7,0.5,0.0,100.0,0.0,1.0,False
Questions,Devonport,3,2016-06-24,2,False,False,False,0.0,0.0,0.0,0.0,0.0,11.2,1.0,0.07,0.0,11900.0,0.1,1020.0,11.2,1.0,1.0,1.0,25.0,11.0,0.0,0.0,1.0,0.07,100.0,0.0,11.2,0.0,0.0,15.0,0.0,0.0,56.0,0.0,0.02,Barry Campbell,0.0,1.0,0.0,0.0,0.0,0.1,0.0,100.0,0.0,0.0,False
Frost,Devonport,2,2016-06-24,2,True,False,False,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.34,0.0,4900.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,999.0,0.0,1.0,Adam Trinder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,False
Canam,Devonport,1,2016-06-24,2,False,False,False,0.0,0.0,3.0,0.0,0.25,0.0,0.0,0.29,0.0,21700.0,0.08,100.0,2.9,0.0,1.0,1.0,79.0,13.0,0.0,2.0,0.0,0.08,100.0,0.0,2.9,0.0,3.0,14.0,0.0,1.0,56.0,0.0,0.78,Graeme Mcculloch,0.0,0.0,0.0,0.0,0.0,0.24,0.0,100.0,0.0,0.0,False
Revelio,Ipswich,7,2016-06-24,2,False,False,False,6.0,1.0,6.0,0.0,0.5,0.0,0.0,0.52,0.0,45800.0,0.13,100.0,4.4,1.0,1.0,2.0,72.0,8.0,2.0,1.0,0.0,0.08,100.0,0.0,3.8,1.0,6.0,27.0,0.0,2.0,57.0,0.0,0.45,Matthew Dunn,0.4,0.0,1.0,0.0,0.0,0.38,0.0,100.0,1.0,2.0,True
Flautino,Ipswich,6,2016-06-24,2,False,False,False,1.0,0.0,2.0,0.0,0.67,4.4,1.0,0.38,0.0,39800.0,0.2,120.0,4.5,1.0,2.0,3.0,17.0,10.0,1.0,1.0,0.5,0.19,100.0,0.0,4.4,0.0,0.0,16.0,0.0,2.0,67.0,0.0,0.1,Lindsay Hatch,0.0,1.0,0.0,0.0,0.0,0.3,0.0,100.0,0.0,0.0,False
Bronzed Venom,Ipswich,4,2016-06-24,2,False,True,False,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.34,1.0,20300.0,0.34,100.0,3.5,0.0,2.0,2.0,17.0,6.0,0.0,0.0,0.0,0.34,75.0,1.0,3.5,0.0,4.0,6.0,0.5,0.0,52.0,0.5,0.17,Matthew Dunn,0.5,0.0,0.0,1.0,3.5,0.34,3.5,75.0,0.0,0.0,False
Fusina,Ipswich,3,2016-06-24,2,False,False,False,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.34,1.0,180000.0,0.16,100.0,4.9,0.0,2.0,5.0,18.0,13.0,0.0,2.0,0.0,0.17,34.0,1.0,4.92,2.0,0.0,30.0,0.0,0.0,71.0,0.2,0.25,Robert Heathcote,0.8,0.0,0.0,0.0,3.3,0.31,0.0,100.0,0.0,0.0,True
Mishani Sleuth,Ipswich,2,2016-06-24,2,True,False,False,2.0,0.0,4.0,1.0,1.0,0.0,0.0,0.54,1.0,131000.0,0.08,100.0,5.5,0.34,1.0,2.0,10.0,14.0,1.0,4.0,0.0,0.14,83.0,1.0,6.75,1.0,0.0,15.0,0.34,1.0,69.0,0.34,0.61,Chris Anderson,0.67,0.0,2.0,1.0,5.5,0.5,8.0,167.0,1.0,0.0,False
Not Doubtful,Coffs Harbour,8,2016-06-24,2,False,False,False,12.0,0.0,8.0,1.0,0.38,7.15,2.0,0.35,2.0,156000.0,0.06,138.0,4.6,0.67,1.0,13.0,23.0,18.0,1.0,2.0,0.34,0.14,65.0,2.0,5.64,1.0,8.0,95.0,0.13,0.0,49.0,0.25,0.74,Terry Evans,0.38,2.0,0.0,1.0,6.6,0.17,3.6,55.0,2.0,1.0,False
Raheeba Las Vegas,Coffs Harbour,7,2016-06-24,2,True,False,True,4.0,2.0,0.0,0.0,0.34,0.0,0.0,0.46,1.0,18100.0,0.12,100.0,2.3,0.0,1.0,1.0,79.0,9.0,0.0,0.0,0.0,0.1,23.0,1.0,2.3,0.0,0.0,11.0,0.0,0.0,45.0,0.34,0.74,Stephen Lee,1.0,0.0,3.0,0.0,2.3,0.45,0.0,100.0,1.0,0.0,False
Rapidus,Coffs Harbour,6,2016-06-24,2,False,False,False,5.0,1.0,8.0,0.0,0.23,3.1,1.0,0.23,0.0,133000.0,0.05,61.0,5.0,0.25,1.0,8.0,55.0,22.0,1.0,2.0,0.13,0.09,100.0,0.0,5.29,1.0,0.0,93.0,0.0,2.0,44.0,0.0,0.77,Peter Cheers,0.23,1.0,1.0,0.0,0.0,0.19,0.0,100.0,0.0,0.0,True
Lupita,Coffs Harbour,5,2016-06-24,2,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,4400.0,0.5,0.0,2.0,0.0,1.0,1.0,60.0,2.0,0.0,0.0,0.0,0.2,0.0,0.0,2.0,0.0,4.0,5.0,0.0,0.0,999.0,0.0,0.0,Laurie K Laxon,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,False
Channel,Coffs Harbour,4,2016-06-24,2,False,False,False,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.23,0.0,27300.0,0.23,400.0,5.0,1.0,2.0,2.0,11.0,9.0,0.0,0.0,1.0,0.23,100.0,0.0,5.0,0.0,4.0,9.0,0.0,0.0,46.0,0.0,0.11,Joanne Hardy,0.0,1.0,0.0,0.0,0.0,0.23,0.0,100.0,0.0,0.0,True
Cloud Consort,Coffs Harbour,3,2016-06-24,2,False,False,False,4.0,1.0,5.0,0.0,0.2,3.7,2.0,0.48,0.0,45400.0,0.1,85.0,5.0,0.75,1.0,2.0,68.0,11.0,0.0,3.0,0.5,0.09,100.0,0.0,3.7,1.0,0.0,23.0,0.0,1.0,53.0,0.0,0.55,Stephen Lee,0.5,2.0,3.0,0.0,0.0,0.64,0.0,100.0,0.0,1.0,False
More Thunder,Coffs Harbour,2,2016-06-24,2,True,False,False,4.0,2.0,3.0,0.0,1.0,0.0,0.0,0.73,1.0,32400.0,0.13,100.0,3.4,0.5,1.0,1.0,69.0,8.0,0.0,3.0,0.0,0.1,13.0,1.0,3.4,0.0,3.0,11.0,0.0,2.0,54.0,0.34,0.57,Paul Smith,1.0,0.0,1.0,0.0,3.4,0.63,0.0,100.0,2.0,1.0,False
Miss Tristy,Coffs Harbour,1,2016-06-24,2,False,False,False,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.39,0.0,32500.0,0.1,100.0,2.8,0.6,1.0,1.0,89.0,11.0,1.0,2.0,0.0,0.04,100.0,0.0,2.8,2.0,0.0,26.0,0.0,0.0,42.0,0.0,0.75,Trent Greentree,0.6,0.0,2.0,0.0,0.0,0.46,0.0,100.0,0.0,2.0,True
Lochan Ora,Riccarton,7,2016-06-25,2,False,False,False,2.0,0.0,3.0,0.0,0.5,0.0,0.0,0.45,0.0,80100.0,0.39,100.0,2.0,0.5,7.0,7.0,48.0,18.0,1.0,1.0,0.0,0.26,100.0,0.0,2.0,0.0,0.0,27.0,0.0,1.0,999.0,0.0,0.22,K L Tyler,0.0,0.0,2.0,0.0,0.0,0.56,0.0,100.0,0.0,0.0,True
Dynamic,Riccarton,6,2016-06-25,2,False,False,False,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,999.0,0.0,1.0,W J Haggas,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,True
Wize Act,Riccarton,2,2016-06-25,2,False,True,False,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.34,1.0,19600.0,0.17,100.0,2.0,0.0,1.0,1.0,67.0,6.0,0.0,1.0,0.0,0.17,100.0,1.0,2.0,0.0,3.0,6.0,0.0,1.0,999.0,1.0,0.67,Terri Rae,1.0,0.0,0.0,0.0,2.0,0.34,0.0,100.0,0.0,0.0,True
Mr Luigi,Tauranga,9,2016-06-25,2,False,False,False,4.0,0.0,4.0,0.0,1.0,2.0,2.0,1.0,1.0,49600.0,0.29,33.0,2.0,1.0,2.0,3.0,45.0,7.0,1.0,3.0,0.67,0.28,33.0,1.0,2.0,2.0,0.0,11.0,0.0,1.0,999.0,0.34,0.43,Peter Lock,1.0,2.0,2.0,0.0,2.0,1.0,0.0,100.0,3.0,0.0,True
Aide Memoire,Tauranga,8,2016-06-25,2,False,False,False,0.0,0.0,6.0,1.0,1.0,5.3,4.0,0.82,2.0,98500.0,0.5,430.0,5.3,1.0,4.0,7.0,70.0,8.0,0.0,3.0,1.0,0.44,0.0,2.0,3.89,1.0,5.0,16.0,0.25,3.0,999.0,0.5,1.65,F J Auret,0.75,4.0,0.0,1.0,2.0,0.88,2.0,50.0,0.0,0.0,False
Monarch Chimes,Tauranga,5,2016-06-25,2,True,False,False,5.0,1.0,2.0,0.0,0.5,0.0,0.0,0.7,0.0,28800.0,0.13,100.0,2.0,1.0,1.0,2.0,69.0,8.0,2.0,1.0,0.0,0.16,100.0,0.0,2.0,1.0,0.0,13.0,0.0,0.0,999.0,0.0,0.75,E & D Browne,1.0,0.0,4.0,0.0,0.0,0.75,0.0,100.0,1.0,0.0,False
Battle Time,Tauranga,3,2016-06-25,2,False,True,False,3.0,1.0,5.0,1.0,0.75,0.0,0.0,0.48,0.0,325000.0,0.24,100.0,2.0,0.25,3.0,3.0,74.0,13.0,0.0,2.0,0.0,0.14,100.0,0.0,2.0,0.0,5.0,23.0,0.25,1.0,999.0,0.0,0.54,T & M Carter,0.25,0.0,0.0,1.0,0.0,0.39,2.0,50.0,1.0,1.0,True
San Miguel,Tauranga,1,2016-06-25,2,False,False,False,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.37,1.0,29700.0,0.2,100.0,2.0,0.5,1.0,1.0,82.0,5.0,0.0,1.0,0.0,0.1,33.0,1.0,2.0,0.0,4.0,11.0,0.0,0.0,999.0,0.34,0.6,M & A Baker & Forsman,0.67,0.0,0.0,0.0,2.0,0.4,0.0,100.0,0.0,1.0,True
Big Man,Darwin,7,2016-06-25,2,False,False,False,1.0,0.0,0.0,1.0,0.34,0.0,0.0,0.31,0.0,86600.0,0.34,100.0,22.33,0.0,3.0,3.0,415.0,9.0,0.0,0.0,0.0,0.24,100.0,0.0,22.33,0.0,0.0,13.0,0.34,0.0,999.0,0.0,6.44,Shane D Baertschiger,0.0,0.0,1.0,1.0,0.0,0.45,12.0,300.0,0.0,0.0,False
Hammered Art,Darwin,6,2016-06-25,2,False,False,False,3.0,0.0,3.0,0.0,0.34,0.0,0.0,0.63,1.0,62400.0,0.25,100.0,11.2,0.34,3.0,4.0,273.0,12.0,1.0,3.0,0.0,0.25,117.0,1.0,14.9,0.0,0.0,16.0,0.0,0.0,67.0,0.34,1.8,Leanne Gillett,0.34,0.0,3.0,0.0,6.5,0.75,0.0,100.0,1.0,0.0,False
Pot Black,Darwin,4,2016-06-25,2,True,False,False,5.0,2.0,2.0,0.0,0.5,15.0,1.0,0.43,0.0,103000.0,0.28,150.0,5.93,0.17,3.0,5.0,27.0,11.0,0.0,1.0,0.17,0.18,100.0,0.0,7.12,0.0,0.0,28.0,0.0,1.0,65.0,0.0,0.62,Neil Dyer,0.34,1.0,1.0,0.0,0.0,0.46,0.0,100.0,2.0,0.0,False
Hey Charlie,Darwin,3,2016-06-25,2,False,False,False,7.0,2.0,5.0,0.0,0.2,2.2,1.0,0.54,1.0,44500.0,0.0,45.0,0.0,0.5,0.0,2.0,77.0,14.0,1.0,4.0,0.25,0.08,26.0,1.0,2.95,0.0,5.0,26.0,0.0,0.0,54.0,0.2,1.0,Philip Cole,0.6,1.0,4.0,0.0,3.7,0.58,0.0,100.0,1.0,0.0,False
Girls Away,Darwin,2,2016-06-25,2,False,False,False,3.0,1.0,4.0,0.0,0.5,0.0,0.0,0.65,1.0,81800.0,0.46,100.0,1.88,0.34,5.0,6.0,44.0,11.0,1.0,2.0,0.0,0.3,57.0,1.0,1.85,1.0,5.0,20.0,0.0,1.0,69.0,0.25,0.15,Gary Clarke,0.75,0.0,1.0,0.0,1.7,0.73,0.0,100.0,1.0,0.0,True
Kalimna,Darwin,1,2016-06-25,2,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,52.0,0.0,1.0,Tayarn Halter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,False
Cat Five,Carnarvon,6,2016-06-25,2,True,False,False,11.0,4.0,9.0,1.0,0.4,7.0,1.0,0.46,0.0,103000.0,0.12,12.0,4.8,0.25,1.0,10.0,34.0,9.0,1.0,0.0,0.13,0.16,100.0,0.0,4.38,0.0,8.0,66.0,0.1,1.0,71.0,0.0,0.47,Terry Brennan,0.45,1.0,2.0,1.0,0.0,0.34,4.4,56.0,2.0,0.0,False
Hugo Drax,Carnarvon,5,2016-06-25,2,True,True,False,2.0,0.0,5.0,1.0,0.75,0.0,0.0,0.62,1.0,59600.0,0.25,100.0,3.4,0.75,1.0,4.0,31.0,4.0,1.0,1.0,0.0,0.23,40.0,1.0,3.13,2.0,6.0,18.0,0.25,1.0,70.0,0.25,0.15,Ryan Murphy,0.75,0.0,0.0,1.0,2.4,0.5,3.4,15.0,1.0,2.0,False
Patriot Games,Carnarvon,3,2016-06-25,2,False,False,False,3.0,1.0,3.0,0.0,0.25,2.0,1.0,0.39,0.0,17500.0,0.0,50.0,0.0,0.5,0.0,1.0,89.0,6.0,1.0,2.0,0.25,0.06,100.0,0.0,2.0,1.0,0.0,18.0,0.0,1.0,59.0,0.0,1.0,Peter Dellar,0.5,1.0,2.0,0.0,0.0,0.67,0.0,100.0,0.0,0.0,False
Just Outs,Carnarvon,2,2016-06-25,2,False,False,True,3.0,1.0,0.0,0.0,0.34,0.0,0.0,0.39,0.0,22700.0,0.0,100.0,0.0,0.0,0.0,4.0,34.0,6.0,0.0,0.0,0.0,0.23,100.0,0.0,2.95,0.0,5.0,18.0,0.0,0.0,58.0,0.0,1.0,Terry Brennan,0.34,0.0,3.0,0.0,0.0,0.5,0.0,100.0,1.0,0.0,False
Green Sky,Carnarvon,1,2016-06-25,2,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,999.0,0.0,1.0,Jacquelyn Scott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,False
Mathison,Kembla Grange,8,2016-06-25,2,False,False,False,2.0,0.0,3.0,0.0,0.5,0.0,0.0,0.6,1.0,32200.000000000004,0.25,100.0,1.9,0.0,1.0,1.0,81.0,4.0,0.0,1.0,0.0,0.1,5.0,1.0,1.9,1.0,5.0,10.0,0.0,1.0,62.0,0.5,0.52,Barry & Glen James,1.0,0.0,0.0,0.0,1.9,0.5,0.0,100.0,1.0,0.0,True
Guiding Star,Kembla Grange,7,2016-06-25,2,False,False,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,100.0,6.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,64.0,0.0,1.0,P J McKenna,0.0,0.0,1.0,0.0,0.0,0.17,0.0,100.0,0.0,0.0,False
Midnight Ride,Kembla Grange,6,2016-06-25,2,False,False,False,3.0,1.0,1.0,1.0,0.25,13.0,1.0,0.26,0.0,68800.0,0.1,225.0,10.0,0.25,1.0,4.0,112.0,11.0,0.0,1.0,0.25,0.13,100.0,0.0,16.43,0.0,0.0,31.0,0.25,0.0,55.0,0.0,0.09,Gwenda Markwell,0.25,1.0,3.0,1.0,0.0,0.46,41.0,925.0,0.0,0.0,False
